skill,wiki_page
Mathematical optimization,Mathematical_optimization
Discrete optimization,Discrete_optimization
Network optimization,Network_theory
Continuous optimization,Continuous_optimization
Linear programming,Linear_programming
Semidefinite programming,Semidefinite_programming
Convex optimization,Convex_optimization
Quasiconvex programming and unimodality,Quasiconvex_function
Stochastic control and optimization,Stochastic_optimization
Quadratic programming,Quadratic_programming
Nonconvex optimization,Convex_optimization
Mixed discrete-continuous optimization,List_of_optimization_software
Submodular optimization and polymatroids,Polymatroid
Integer programming,Integer_programming
Data structures design and analysis,Data_structure
Data compression,Data_compression
Pattern matching,Pattern_matching
Sorting and searching,Search_algorithm
Predecessor queries,X-fast_trie
Cell probe models and lower bounds,Cell-probe_model
Online algorithms,Online_algorithm
Online learning algorithms,Online_machine_learning
Scheduling algorithms,Scheduling_(computing)
Caching and paging algorithms,Page_replacement_algorithm
K-server algorithms,K-server_problem
Adversary models,Adversary_model
Parameterized complexity and exact algorithms,Parameterized_complexity
Fixed parameter tractability,Parameterized_complexity
W hierarchy,Parameterized_complexity
Streaming sublinear and near linear time algorithms,Selection_algorithm
Bloom filters and hashing,Bloom_filter
Sketching and sampling,Streaming_algorithm
Lower bounds and information complexity,Circuit_complexity
Random order and robust communication complexity,Complex_network
Nearest neighbor algorithms,Nearest_neighbour_algorithm
Parallel algorithms,Parallel_algorithm
MapReduce algorithms,MapReduce
Self-organization,Self-organization
Shared memory algorithms,Parallel_algorithm
Vector / streaming algorithms,Streaming_algorithm
Massively parallel algorithms,Massively_parallel_(computing)
Distributed algorithms,Distributed_algorithm
MapReduce algorithms,MapReduce
Self-organization,Self-organization
Algorithm design techniques,Algorithm_design
Backtracking,Backtracking
Branch-and-bound,Branch_and_bound
Divide and conquer,Divide_and_conquer_algorithm
Dynamic programming,Dynamic_programming
Preconditioning,Preconditioner
Concurrent algorithms,Concurrent_algorithm
Randomness geometry and discrete structures,ACM_Computing_Classification_System
Pseudorandomness and derandomization,Pseudorandom_generator
Computational geometry,Computational_geometry
Generating random combinatorial structures,Combinatorial_class
Random walks and Markov chains,Random_walk
Expander graphs and randomness extractors,Salil_Vadhan
Error-correcting codes,Error_detection_and_correction
Random projections and metric embeddings,Johnson–Lindenstrauss_lemma
Random network models,Random_graph
Theory and algorithms for application domains,ACM_Computing_Classification_System
Machine learning theory,Computational_learning_theory
Sample complexity and generalization bounds,Generalization_error
Boolean function learning,Boolean_algebra
Unsupervised learning and clustering,Unsupervised_learning
Kernel methods,Kernel_method
Support vector machines,Support_vector_machine
Gaussian processes,Gaussian_process
Boosting,Boosting_(machine_learning)
Bayesian analysis,Robust_Bayesian_analysis
Inductive inference,Inductive_reasoning
Online learning theory,E-learning_(theory)
Multi-agent learning,Multi-agent_system
Models of learning,Learning_styles
Query learning,Active_learning_(machine_learning)
Structured prediction,Structured_prediction
Reinforcement learning,Reinforcement_learning
Sequential decision making,Sequential_analysis
Inverse reinforcement learning,Apprenticeship_learning
Apprenticeship learning,Apprenticeship_learning
Multi-agent reinforcement learning,Multi-agent_system
Adversarial learning,Adversarial_machine_learning
Active learning,Active_learning
Semi-supervised learning,Semi-supervised_learning
Markov decision processes,Markov_decision_process
Regret bounds,Regret_(decision_theory)
Algorithmic game theory and mechanism design,Algorithmic_mechanism_design
Social networks,Social_networking_service
Algorithmic game theory,Algorithmic_game_theory
Algorithmic mechanism design,Algorithmic_mechanism_design
Solution concepts in game theory,Solution_concept
Exact and approximate computation of equilibria,Epsilon-equilibrium
Quality of equilibria,Thermodynamic_equilibrium
Convergence and learning in games,Fictitious_play
Market equilibria,Economic_equilibrium
Computational pricing and auctions,Combinatorial_auction
Representations of games and their complexity,Succinct_game
Network games,Game_Network
Network formation,Network_formation
Computational advertising theory,Computational_complexity_theory
Database theory,Database_theory
Data exchange,Data_exchange
Data provenance,Provenance
Data modeling,Logical_data_model
Database query languages,Query_language
Database constraints theory,Dependency_theory_(database_theory)
Database interoperability,Interoperability
Data structures and algorithms for data management,Data_structure
Database query processing and optimization,Query_optimization
Data integration,Oracle_Data_Integrator
Logic and databases,Logical_data_model
Theory of database privacy and security,Database_security
Incomplete inconsistent, and uncertain databases,Rough_set
Semantics and reasoning,Semantic_reasoner
Program constructs,Category:Programming_constructs
Control primitives,Primitive_data_type
Functional constructs,Functional_programming
Object oriented constructs,Object-oriented_programming
Program schemes,List_of_government_schemes_in_India
Type structures,Structural_type_system
Program semantics,Semantics_(computer_science)
Algebraic semantics,Algebraic_semantics
Denotational semantics,Denotational_semantics
Operational semantics,Operational_semantics
Axiomatic semantics,Axiomatic_semantics
Action semantics,Action_semantics
Categorical semantics,Categorical_logic
Program reasoning,Automated_reasoning
Invariants,Invariant_(mathematics)
Program specifications,Formal_specification
Pre- and post-conditions,Postcondition
Program verification,Formal_verification
Program analysis,Program_analysis
Assertions,Management_assertions
Parsing,Parsing
Abstraction,Abstraction
Mathematics of computing,Category:Mathematics_of_computing
Discrete mathematics,Discrete_mathematics
Combinatorics,Outline_of_combinatorics
Combinatoric problems,Combinatorial_optimization
Permutations and combinations,Permutation
Combinatorial algorithms,Category:Combinatorial_algorithms
Generating functions,Generating_function
Combinatorial optimization,Combinatorial_optimization
Combinatorics on words,Combinatorics_on_words
Enumeration,Enumeration
Graph theory,Graph_theory
Trees,Tree
Hypergraphs,Hypergraph
Random graphs,Random_graph
Graph coloring,Graph_coloring
Paths and connectivity problems,Connectivity_(graph_theory)
Graph enumeration,Graph_enumeration
Matchings and factors,Graph_factorization
Graphs and surfaces,Graph_embedding
Network flows,Flow_network
Spectra of graphs,Spectral_graph_theory
Extremal graph theory,Extremal_graph_theory
Matroids and greedoids,Greedoid
Graph algorithms,Category:Graph_algorithms
Approximation algorithms,Approximation_algorithm
Probability and statistics,Probability_and_statistics
Probabilistic representations,Robotic_mapping
Bayesian networks,Bayesian_network
Markov networks,Markov_random_field
Factor graphs,Factor_graph
Decision diagrams,Binary_decision_diagram
Equational models,Structural_equation_modeling
Causal networks,Bayesian_network
Stochastic differential equations,Stochastic_differential_equation
Nonparametric representations,Parametric_equation
Kernel density estimators,Kernel_density_estimation
Spline models,Spline_(mathematics)
Bayesian nonparametric models,Nonparametric_statistics
Probabilistic inference problems,Bayesian_inference
Maximum likelihood estimation,Maximum_likelihood_estimation
Bayesian computation,Approximate_Bayesian_computation
Computing most probable explanation,Belief_propagation
Hypothesis testing and confidence interval computation,Confidence_interval
Density estimation,Density_estimation
Quantile regression,Quantile_regression
Max marginal computation,Marginal_likelihood
Probabilistic reasoning algorithms,Probabilistic_logic
Variable elimination,Variable_elimination
Loopy belief propagation,Belief_propagation
Variational methods,Variational_Bayesian_methods
Expectation maximization,Expectation–maximization_algorithm
Markov-chain Monte Carlo methods,Metropolis-Hastings_algorithm
Gibbs sampling,Gibbs_sampling
Metropolis-Hastings algorithm,Metropolis-Hastings_algorithm
Simulated annealing,Simulated_annealing
Markov-chain Monte Carlo convergence measures,Monte_Carlo_method
Sequential Monte Carlo methods,Particle_filter
Kalman filters and hidden Markov models,Kalman_filter
Resampling methods,Resampling_(statistics)
Bootstrapping,Bootstrapping_(statistics)
Jackknifing,Jackknife_resampling
Random number generation,Random_number_generation
Probabilistic algorithms,Randomized_algorithm
Statistical paradigms,Foundations_of_statistics
Queueing theory,Queueing_theory
Contingency table analysis,Contingency_table
Regression analysis,Regression_analysis
Robust regression,Robust_regression
Time series analysis,Time_series
Survival analysis,Survival_analysis
Renewal theory,Renewal_theory
Dimensionality reduction,Dimensionality_reduction
Cluster analysis,Cluster_analysis
Statistical graphics,Statistical_graphics
Exploratory data analysis,Exploratory_data_analysis
Stochastic processes,Stochastic_process
Markov processes,Markov_chain
Nonparametric statistics,Nonparametric_statistics
Distribution functions,Cumulative_distribution_function
Multivariate statistics,Multivariate_statistics
Mathematical software,Mathematical_software
Solvers,Solver
Statistical software,List_of_statistical_packages
Mathematical software performance,List_of_numerical_analysis_software
Information theory,Information_theory
Coding theory,Coding_theory
Mathematical analysis,Mathematical_analysis
Numerical analysis,Numerical_analysis
Computation of transforms,Fast_Fourier_transform
Computations in finite fields,Finite_field_arithmetic
Computations on matrices,Matrix_(mathematics)
Computations on polynomials,Polynomial
Gröbner bases and other special bases,Gröbner_basis
Number-theoretic computations,Computational_number_theory
Interpolation,Interpolation
Numerical differentiation,Numerical_differentiation
Interval arithmetic,Interval_arithmetic
Arbitrary-precision arithmetic,Arbitrary-precision_arithmetic
Automatic differentiation,Automatic_differentiation
Mesh generation,Mesh_generation
Discretization,Discretization
Mathematical optimization,Mathematical_optimization
Discrete optimization,Discrete_optimization
Network optimization,Network_theory
Continuous optimization,Continuous_optimization
Linear programming,Linear_programming
Semidefinite programming,Semidefinite_programming
Convex optimization,Convex_optimization
Quasiconvex programming and unimodality,Quasiconvex_function
Stochastic control and optimization,Stochastic_optimization
Quadratic programming,Quadratic_programming
Nonconvex optimization,Convex_optimization
Mixed discrete-continuous optimization,List_of_optimization_software
Submodular optimization and polymatroids,Polymatroid
Integer programming,Integer_programming
Differential equations,Differential_equation
Ordinary differential equations,Differential_equation
Partial differential equations,Partial_differential_equation
Differential algebraic equations,Partial_differential_algebraic_equation
Differential variational inequalities,Differential_variational_inequality
Calculus,Calculus
Lambda calculus,Lambda_calculus
Differential calculus,Differential_calculus
Integral calculus,Integral
Functional analysis,Functional_analysis
Approximation,Approximation
Integral equations,Integral_equation
Nonlinear equations,Nonlinear_system
Quadrature,In-phase_and_quadrature_components
Continuous mathematics,Continuous_function
Calculus,Calculus
Lambda calculus,Lambda_calculus
Differential calculus,Differential_calculus
Integral calculus,Integral
Topology,Network_topology
Point-set topology,General_topology
Algebraic topology,Algebraic_topology
Geometric topology,Geometric_topology
Continuous functions,Continuous_function
Information systems,Information_system
Data management systems,Category:Database_management_systems
Database design and models,Database_design
Relational database model,Relational_model
Entity relationship models,Entity–relationship_model
Graph-based database models,Graph_database
Hierarchical data models,Hierarchical_database_model
Network data models,Network_model
Physical data models,Physical_data_model
Data model extensions,Hierarchical_Data_Format
Semi-structured data,Semi-structured_data
Data streams,Data_stream
Data provenance,Provenance
Incomplete data,Missing_data
Temporal data,Temporal_database
Uncertainty,Measurement_uncertainty
Inconsistent data,Data_consistency
Data structures,Data_structure
Data access methods,Data_access
Multidimensional range search,K-d_tree
Data scans,Image_scanner
Point lookups,Lookup_table
Unidimensional range search,Range_tree
Proximity search,Proximity_search_(text)
Data layout,Column-oriented_DBMS
Data compression,Data_compression
Data encryption,Encryption
Record and block layout,Fixed-block_architecture
Database management system engines,Database_engine
DBMS engine architectures,Relational_database_management_system
Database query processing,Query_optimization
Query optimization,Query_optimization
Query operators,Language_Integrated_Query
Query planning,Query_plan
Join algorithms,Category:Join_algorithms
Database transaction processing,Transaction_processing
Data locking,Lock_(database)
Transaction logging,Transaction_log
Database recovery,Data_recovery
Record and buffer management,Circular_buffer
Parallel and distributed DBMSs,Distributed_database
Key-value stores,Key-value_database
MapReduce-based systems,MapReduce
Relational parallel and distributed DBMSs,Distributed_database
Triggers and rules,Event_condition_action
Database views,View_(SQL)
Integrity checking,Data_integrity
Distributed database transactions,Distributed_transaction
Distributed data locking,Two-phase_locking
Deadlocks,Deadlock
Distributed database recovery,Two-phase_commit_protocol
Main memory engines,In-memory_database
Online analytical processing engines,Online_analytical_processing
Stream management,Data_stream_management_system
Query languages,Query_language
Relational database query languages,Query_language
Structured Query Language,SQL
XML,XML
XPath,XPath
XQuery,XQuery
Query languages for non-relational engines,NoSQL
MapReduce languages,MapReduce
Call level interfaces,Call_Level_Interface
Database administration,Database_administration_and_automation
Database utilities and tools,Comparison_of_database_tools
Database performance evaluation,Standard_Performance_Evaluation_Corporation
Autonomous database administration,Distributed_database
Data dictionaries,Data_dictionary
Information integration,Information_integration
Deduplication,Data_deduplication
Extraction, transformation and loading,Extract,_transform,_load
Data exchange,Data_exchange
Data cleaning,Data_cleansing
Wrappers,Wrapper_function
Mediators and data integration,Data_integration
Entity resolution,Record_linkage
Data warehouses,Data_warehouse
Federated databases,Federated_database_system
Middleware for databases,Middleware_(distributed_applications)
Database web servers,Web_server
Application servers,Application_server
Object-relational mapping facilities,List_of_object-relational_mapping_software
Data federation tools,Data_virtualization
Data replication tools,Replication_(computing)
Distributed transaction monitors,Tuxedo_(software)
Message queues,Message_queue
Service buses,Enterprise_service_bus
Enterprise application integration tools,Enterprise_application_integration
Middleware business process managers,Business_process_management
Information storage systems,Computer_data_storage
Information storage technologies,Computer_data_storage
Magnetic disks,Magnetic_storage
Magnetic tapes,Magnetic_tape
Optical / magneto-optical disks,Magneto-optical_drive
Storage class memory,Software-defined_memory
Flash memory,Flash_memory
Phase change memory,Phase-change_memory
Disk arrays,Disk_array
Tape libraries,Tape_library
Record storage systems,Records_management
Record storage alternatives,List_of_file_systems
Heap,Heap_(data_structure)
Hashed file organization,Hash_function
Indexed file organization,Indexed_file
Linked lists,Linked_list
Directory structures,Directory_structure
B-trees,B-tree
Vnodes,Virtual_file_system
Inodes,Inode
Extent-based file structures,Extent_(file_systems)
Block / page strategies,Strategic_block_investing
Slotted pages,Slotted_nut
Intrapage space management,IntraLinks
Interpage free-space management,Web_page
Record layout alternatives,MARC_standards
Fixed length attributes,Field_(computer_science)
Variable length attributes,Field_(computer_science)
Null values in records,Null_(SQL)
Relational storage,Relational_database
Horizontal partitioning,Partition_(database)
Vertical partitioning,Partition_(database)
Column based storage,Column-oriented_DBMS
Hybrid storage layouts,Hybrid_vehicle_drivetrain
Compression strategies,Strategy_dynamics
Storage replication,Replication_(computing)
Mirroring,Mirroring_(psychology)
RAID,RAID
Point-in-time copies,FlashCopy
Remote replication,Replication_(computing)
Storage recovery strategies,Seven_tiers_of_disaster_recovery
Storage architectures,Serial_Storage_Architecture
Cloud based storage,Cloud_storage
Storage network architectures,Storage_area_network
Storage area networks,Storage_area_network
Direct attached storage,Direct-attached_storage
Network attached storage,Network-attached_storage
Distributed storage,Distributed_data_store
Storage management,Hierarchical_storage_management
Hierarchical storage management,Hierarchical_storage_management
Storage virtualization,Storage_virtualization
Information lifecycle management,Information_lifecycle_management
Version management,Version_control
Storage power management,Grid_energy_storage
Thin provisioning,Thin_provisioning
Information systems applications,Information_system
Enterprise information systems,Enterprise_information_system
Intranets,Intranet
Extranets,Extranet
Enterprise resource planning,Enterprise_resource_planning
Enterprise applications,Enterprise_software
Data centers,Data_center
Collaborative and social computing systems and tools,Social_computing
Blogs,Blog
Wikis,Wiki
Reputation systems,Reputation_system
Open source software,Open-source_software
Social networking sites,List_of_social_networking_websites
Social tagging systems,Social_bookmarking
Synchronous editors,Collaborative_editing
Asynchronous editors,Collaborative_editing
Spatial-temporal systems,Spatiotemporal_database
Location based services,Location-based_advertising
Geographic information systems,Geographic_information_system
Sensor networks,Wireless_sensor_network
Data streaming,Data_stream
Global positioning systems,Global_Positioning_System
Decision support systems,Decision_support_system
Data warehouses,Data_warehouse
Expert systems,Expert_system
Data analytics,Data_analysis
Online analytical processing,Online_analytical_processing
Mobile information processing systems,Information_processor
Process control systems,Process_control
Multimedia information systems,Multimedia
Multimedia databases,Multimedia_database
Multimedia streaming,Streaming_media
Multimedia content creation,Content_creation
Massively multiplayer online games,Massively_multiplayer_online_game
Data mining,Data_mining
Data cleaning,Data_cleansing
Collaborative filtering,Collaborative_filtering
Association rules,Association_rule_learning
Clustering,Cluster_analysis
Nearest-neighbor search,Nearest_neighbor_search
Data stream mining,Data_stream_mining
Digital libraries and archives,Digital_library
Computational advertising,Andrei_Broder
Computing platforms,Computing_platform
World Wide Web,World_Wide_Web
Web searching and information discovery,Social_search
Web search engines,Web_search_engine
Web crawling,Web_crawler
Web indexing,Web_indexing
Page and site ranking,PageRank
Spam detection,Anti-spam_techniques
Content ranking,Television_content_rating_systems
Collaborative filtering,Collaborative_filtering
Social recommendation,Recommender_system
Personalization,Personalization
Social tagging,Social_bookmarking
Online advertising,Online_advertising
Sponsored search advertising,Search_advertising
Content match advertising,Contextual_advertising
Display advertising,Display_advertising
Social advertising,Social_advertising_(social_relationships)
Web mining,Web_mining
Site wrapping,Job_wrapping
Data extraction and integration,Data_integration
Deep web,Deep_web
Surfacing,Surfacing_(novel)
Search results deduplication,Data_deduplication
Web log analysis,Web_log_analysis_software
Traffic analysis,Traffic_analysis
Web applications,Web_application
Internet communications tools,Collaboration_tool
Email,Email
Blogs,Blog
Texting,Text_messaging
Chat,Online_chat
Web conferencing,Web_conferencing
Social networks,Social_networking_service
Crowdsourcing,Crowdsourcing
Answer ranking,Mean_reciprocal_rank
Trust,Trust_(emotion)
Incentive schemes,Incentive_program
Reputation systems,Reputation_system
Electronic commerce,B2B_e-commerce
Digital cash,Electronic_money
E-commerce infrastructure,Center_for_E-Commerce_Infrastructure_Development
Electronic data interchange,Electronic_data_interchange
Electronic funds transfer,Electronic_funds_transfer
Online shopping,Online_shopping
Online banking,Online_banking
Secure online transactions,3-D_Secure
Online auctions,Online_auction
Web interfaces,User_interface
Wikis,Wiki_markup
Browsers,Web_browser
Mashups,Mashup_(web_application_hybrid)
Web services,Web_service
Simple Object Access Protocol,SOAP
RESTful web services,Java_API_for_RESTful_Web_Services
Web Services Description Language,Web_Services_Description_Language
Universal Description Discovery and Integration,Web_Services_Discovery
Service discovery and interfaces,Web_Services_Discovery
Web data description languages,Web_Services_Description_Language
Semantic web description languages,Web_Ontology_Language
Resource Description Framework,Resource_Description_Framework
Web Ontology Language,Web_Ontology_Language
Markup languages,List_of_document_markup_languages
Extensible Markup Language,XML
Hypertext languages,HTML
Information retrieval,Information_retrieval
Document representation,Vector_space_model
Document structure,Document_Structure_Description
Document topic models,Topic_model
Content analysis and feature selection,Feature_selection
Data encoding and canonicalization,Canonicalization
Document collection models,Vector_space_model
Ontologies,Ontology_(information_science)
Dictionaries,Dictionary
Thesauri,Thesaurus
Information retrieval query processing,Information_retrieval
Query representation,Query_optimization
Query intent,User_intent
Query log analysis,Web_search_query
Query suggestion,Search_suggest_drop-down_list
Query reformulation,Query_expansion
Users and interactive retrieval,Human-computer_information_retrieval
Personalization,Personalization
Task models,ConcurTaskTrees
Search interfaces,Faceted_search
Collaborative search,Collaborative_search_engine
Retrieval models and ranking,Ranking_(information_retrieval)
Rank aggregation,Kemeny-Young_method
Probabilistic retrieval models,Probabilistic_relevance_model
Language models,Language_model
Similarity measures,Similarity_measure
Learning to rank,Learning_to_rank
Combination, fusion and federated search,Metasearch_engine
Information retrieval diversity,Information_retrieval
Top-k retrieval in databases,Information_retrieval
Novelty in information retrieval,Relevance_(information_retrieval)
Retrieval tasks and goals,Information_retrieval
Question answering,Question_answering
Document filtering,Information_filtering_system
Recommender systems,Recommender_system
Information extraction,Information_extraction
Sentiment analysis,Sentiment_analysis
Expert search,Expert
Near-duplicate and plagiarism detection,Plagiarism_detection
Clustering and classification,Cluster_analysis
Summarization,Automatic_summarization
Business intelligence,Business_intelligence
Evaluation of retrieval results,Evaluation_measures_(information_retrieval)
Test collections,Test_suite
Relevance assessment,Relevance_(information_retrieval)
Retrieval effectiveness,Information_retrieval
Retrieval efficiency,Information_retrieval
Presentation of retrieval results,Information_retrieval
Search engine architectures and scalability,Scalability
Search engine indexing,Search_engine_indexing
Search index compression,Search_engine_indexing
Distributed retrieval,Distributed_practice
Peer-to-peer retrieval,Social_peer-to-peer_processes
Retrieval on mobile devices,Mobile_device_forensics
Adversarial retrieval,Adversarial_information_retrieval
Link and co-citation analysis,Co-citation
Searching with auxiliary databases,B-tree
Specialized information retrieval,Semantic_network
Structure and multilingual text search,Search_engine_indexing
Structured text search,Structured_text
Mathematics retrieval,Information_retrieval
Chemical and biochemical retrieval,Cheminformatics
Multilingual and cross-lingual retrieval,Cross-language_information_retrieval
Multimedia and multimodal retrieval,Multimedia_information_retrieval
Image search,Image_meta_search
Video search,Video_search_engine
Speech / audio search,Audio_search_engine
Music retrieval,Music_information_retrieval
Environment-specific retrieval,Context-dependent_memory
Enterprise search,Enterprise_search
Desktop search,Desktop_search
Web and social media search,Social_search
Security and privacy,Information_privacy
Cryptography,Cryptography
Key management,Key_management
Public key (asymmetric) techniques,Public-key_cryptography
Digital signatures,Digital_signature
Public key encryption,Public-key_cryptography
Symmetric cryptography and hash functions,Cryptographic_hash_function
Block and stream ciphers,Stream_cipher
Hash functions and message authentication codes,Hash-based_message_authentication_code
Cryptanalysis and other attacks,Cryptanalysis
Information-theoretic techniques,Information_theory
Mathematical foundations of cryptography,Cryptography
Formal methods and theory of security,Formal_methods
Trust frameworks,Open_Identity_Exchange
Security requirements,Cyber_security_standards
Formal security models,Computer_security_model
Logic and verification,Language,_Truth,_and_Logic
Security services,UK_security_services
Authentication,Multi-factor_authentication
Biometrics,Biometrics
Graphical / visual passwords,Graphical_identification_and_authentication
Multi-factor authentication,Multi-factor_authentication
Access control,Access_control
Pseudonymity, anonymity and untraceability,Pseudonymous_remailer
Privacy-preserving protocols,Secure_multi-party_computation
Digital rights management,Digital_rights_management
Authorization,Authorization
Intrusion/anomaly detection and malware mitigation,Intrusion_detection_system
Malware and its mitigation,Computer_worm
Intrusion detection systems,Intrusion_detection_system
Social engineering attacks,Social_engineering_(security)
Spoofing attacks,Spoofing_attack
Phishing,Phishing
Security in hardware,Hardware_security_module
Tamper-proof and tamper-resistant designs,Tamper_resistance
Embedded systems security,Embedded_system
Hardware security implementation,Hardware_security_module
Hardware-based security protocols,Hardware_security_module
Hardware attacks and countermeasures,Side-channel_attack
Malicious design modifications,Hardware_Trojan
Side-channel analysis and countermeasures,Side-channel_attack
Hardware reverse engineering,Reverse_engineering
Systems security,Computer_security
Operating systems security,Category:Operating_system_security
Mobile platform security,Mobile_security
Trusted computing,Trusted_Computing
Virtualization and security,Virtual_security_appliance
Browser security,Browser_security
Distributed systems security,Distributed_System_Security_Architecture
Information flow control,Information_flow_(information_theory)
Denial-of-service attacks,Denial-of-service_attack
Firewalls,Firewall_(computing)
Vulnerability management,Vulnerability_management
Penetration testing,Penetration_test
Vulnerability scanners,Vulnerability_scanner
File system security,File_system
Network security,Network_security
Security protocols,Cryptographic_protocol
Web protocol security,Internet_security
Mobile and wireless security,Wireless_security
Denial-of-service attacks,Denial-of-service_attack
Database and storage security,Database_security
Data anonymization and sanitization,Data_anonymization
Management and querying of encrypted data,Transbase
Information accountability and usage control,Information_governance
Database activity monitoring,Database_activity_monitoring
Software and application security,Application_security
Software security engineering,Security_engineering
Web application security,Web_application_security
Social network security and privacy,Privacy_concerns_with_social_networking_services
Domain-specific security and privacy architectures,Domain_Based_Security
Software reverse engineering,Reverse_engineering
Human and societal aspects of security and privacy,Human_security
Economics of security and privacy,Economics_of_security
Social aspects of security and privacy,Privacy_concerns_with_social_networking_services
Privacy protections,Information_privacy
Usability in security and privacy,Human-computer_interaction_(security)
Human-centered computing,Human-centered_computing
Human computer interaction,Human-computer_interaction
HCI design and evaluation methods,Heuristic_evaluation
User models,User_modeling
User studies,Template:User_Studies_at_balshaws
Usability testing,Usability_testing
Heuristic evaluations,Heuristic_evaluation
Walkthrough evaluations,Cognitive_walkthrough
Laboratory experiments,Field_experiment
Field studies,Field_Studies
Interaction paradigms,Human-computer_interaction
Hypertext / hypermedia,Hypermedia
Mixed / augmented reality,Mixed_reality
Command line interfaces,Command-line_interface
Graphical user interfaces,Graphical_user_interface
Virtual reality,Virtual_reality
Web-based interaction,Virtual_community
Natural language interfaces,Natural_language_user_interface
Collaborative interaction,Collaborative_learning
Interaction devices,3D_interaction
Graphics input devices,Input_device
Displays and imagers,Stereoscopy
Sound-based input / output,Audio_Stream_Input/Output
Keyboards,Computer_keyboard
Pointing devices,Pointing_device
Touch screens,Touchscreen
Haptic devices,Haptic_technology
HCI theory, concepts and models,Conceptual_model
Interaction techniques,Interaction_technique
Auditory feedback,Auditory_feedback
Text input,Text_box
Pointing,Repointing
Gestural input,Gesture_recognition
Interactive systems and tools,Interactive_Systems_Corporation
User interface management systems,User_interface_management_systems
User interface programming,Graphical_user_interface
User interface toolkits,User_Interface_Toolkit
Empirical studies in HCI,IFIP_WG_13.6_-_Human_Work_Interaction_Design
Interaction design,Interactive_design
Interaction design process and methods,Interaction_design
User interface design,User_interface_design
User centered design,User-centered_design
Activity centered design,Activity-centered_design
Scenario-based design,Scenario_(computing)
Participatory design,Participatory_design
Contextual design,Contextual_design
Interface design prototyping,User_interface_design
Interaction design theory, concepts and paradigms,Interaction_design
Empirical studies in interaction design,IFIP_WG_13.6_-_Human_Work_Interaction_Design
Systems and tools for interaction design,Interaction_design
Wireframes,Website_wireframe
Collaborative and social computing,Social_computing
Collaborative and social computing theory, concepts and paradigms,Social_computing
Social content sharing,Social_media
Collaborative content creation,Collaboration
Collaborative filtering,Collaborative_filtering
Social recommendation,Recommender_system
Social networks,Social_networking_service
Social tagging,Social_bookmarking
Computer supported cooperative work,Computer-supported_cooperative_work
Social engineering,Social_engineering_(security)
Social navigation,Social_navigation
Social media,Social_media
Collaborative and social computing design and evaluation methods,Social_computing
Social network analysis,Social_network_analysis
Ethnographic studies,Ethnography
Collaborative and social computing systems and tools,Social_computing
Blogs,Blog
Wikis,Wiki_markup
Reputation systems,Reputation_system
Open source software,Open-source_software
Social networking sites,List_of_social_networking_websites
Social tagging systems,Social_bookmarking
Synchronous editors,Collaborative_editing
Asynchronous editors,Collaborative_editing
Empirical studies in collaborative and social computing,Computational_sociology
Collaborative and social computing devices,Social_computing
Ubiquitous and mobile computing,Ubiquitous_computing
Ubiquitous and mobile computing theory, concepts and paradigms,Ubiquitous_computing
Ubiquitous computing,Ubiquitous_computing
Mobile computing,Mobile_computing
Ambient intelligence,Ambient_intelligence
Ubiquitous and mobile computing systems and tools,Ubiquitous_computing
Ubiquitous and mobile devices,Ubiquitous_computing
Smartphones,Smartphone
Interactive whiteboards,Interactive_whiteboard
Mobile phones,Mobile_phone
Mobile devices,Mobile_device
Portable media players,Portable_media_player
Personal digital assistants,Personal_digital_assistant
Handheld game consoles,Handheld_game_console
E-book readers,Comparison_of_e-book_readers
Tablet computers,Tablet_computer
Ubiquitous and mobile computing design and evaluation methods,Ubiquitous_computing
Empirical studies in ubiquitous and mobile computing,Computational_lexicology
Visualization,Visualization_(graphics)
Visualization techniques,Data_visualization
Treemaps,Treemapping
Hyperbolic trees,Hyperbolic_tree
Heat maps,Heat_map
Graph drawings,Graph_drawing
Dendrograms,Dendrogram
Cladograms,Cladogram
Visualization application domains,Geovisualization
Scientific visualization,Scientific_visualization
Visual analytics,Visual_analytics
Geographic visualization,Geovisualization
Information visualization,Information_visualization
Visualization systems and tools,Software_visualization
Visualization toolkits,Category:JavaScript_visualization_toolkits
Visualization theory, concepts and paradigms,Paradigm_shift
Empirical studies in visualization,Scientific_modelling
Visualization design and evaluation methods,Visual_analytics
Accessibility,Accessibility
Accessibility theory, concepts and paradigms,Universal_design
Empirical studies in accessibility,Disability_studies
Accessibility design and evaluation methods,Usability_engineering
Accessibility technologies,Accessibility
Accessibility systems and tools,Accessibility
Computing methodologies,Computational_science
Symbolic and algebraic manipulation,Symbolic_computation
Symbolic and algebraic algorithms,Symbolic_computation
Combinatorial algorithms,Category:Combinatorial_algorithms
Algebraic algorithms,Algebraic-group_factorisation_algorithm
Nonalgebraic algorithms,Transcendental_number
Symbolic calculus algorithms,Symbolic_computation
Exact arithmetic algorithms,Arbitrary-precision_arithmetic
Hybrid symbolic-numeric methods,Symbolic-numeric_computation
Discrete calculus algorithms,Index_calculus_algorithm
Number theory algorithms,Computational_number_theory
Equation and inequality solving algorithms,Equation_solving
Linear algebra algorithms,Numerical_linear_algebra
Theorem proving algorithms,Automated_theorem_proving
Boolean algebra algorithms,Category:Boolean_algebra
Optimization algorithms,Category:Optimization_algorithms_and_methods
Computer algebra systems,Computer_algebra_system
Special-purpose algebraic systems,Computer_algebra_system
